law,gamma,n_per_scene,seed,model,config_id,updates,width,n_params,wall_seconds,test_path_mse,test_path_mse_scene4h,test_path_mse_scene8h,test_path_mse_scene12h,test_mse_1h,test_mse_6h,test_mse_24h,test_mse_32h,vs_mu0_path_mse,vs_mu0_path_mse_scene4h,vs_mu0_path_mse_scene8h,vs_mu0_path_mse_scene12h,vs_mu0_mse_1h,vs_mu0_mse_6h,vs_mu0_mse_24h,vs_mu0_mse_32h,calibration_path_mse,oob_fraction
0,0.0,128,7201,ASYM,p32768_lr0.003,2000,163,32833,44.26,0.00011617752230060924,6.489691500695926e-05,0.0001222160039731101,0.00016141964792175834,0.00011969134775676367,0.00028513128035935936,1.5708890053280572e-05,2.6035630680706517e-06,4.2215260528915685e-06,1.4875972361747078e-06,8.177580811168501e-06,2.9994001113314954e-06,9.267957001088519e-07,1.4785313855206433e-05,1.5253451926531485e-08,9.590015308052815e-09,0.00010977980356787331,0.0
0,0.0,128,7201,NET,p32768_lr0.003,2500,163,32799,25.54,0.00011790572953916027,6.419358182322516e-05,0.00012254075301193195,0.0001669828537823237,0.00011971655256730329,0.00028752256478544364,1.700457073365291e-05,5.073642679470525e-06,5.995869556320656e-06,8.635616302533732e-07,8.484163757698511e-06,8.639883281010087e-06,7.97868719134858e-07,1.750735763251966e-05,1.1790498881648934e-06,2.4183241602960933e-06,0.0001114090563216034,0.03125
0,0.0,128,7202,ASYM,p32768_lr0.003,2000,163,32833,8.24,0.00011611338512164427,6.165463266293112e-05,0.0001222023600910872,0.0001644831626109145,0.00011426805882761477,0.0002788514115151612,1.6964845251076785e-05,2.5311587408679697e-06,2.4506063978298218e-06,1.9692381972896887e-07,4.061380698016179e-06,3.0935146757443184e-06,6.356989596992501e-07,3.3718206330985182e-06,3.216456604002483e-07,4.691972710865448e-09,0.00010822245843453413,0.0
0,0.0,128,7202,NET,p32768_lr0.003,2500,163,32799,25.98,0.00011690919345206604,6.371588730328152e-05,0.00012168978690583099,0.0001653219061470856,0.00011407106097416815,0.0002823259943261121,1.9634339812945596e-05,3.2617057160206062e-06,3.1306005441269453e-06,2.0254231657555426e-06,2.826658363484283e-06,4.539720103141011e-06,2.466191877159012e-07,4.744677395673206e-06,3.0155203623276524e-06,6.905906396914162e-07,0.00010888523664837831,0.0
0,0.0,128,7203,ASYM,p32768_lr0.003,2000,163,32833,7.77,0.00011246213265033717,6.486070526550921e-05,0.00011400191452407677,0.00015852377816142556,0.0001182147899852215,0.00027413762745013653,1.5387148077086153e-05,2.592846565591081e-06,1.1361646364629826e-06,1.9318842273048367e-06,3.6344368030266916e-07,1.1131660017814421e-06,1.5384296408732988e-07,4.228082023666147e-06,3.5333109904560755e-07,5.300006173980916e-08,0.00012270231278929236,0.0
0,0.0,128,7203,NET,p32768_lr0.003,2500,163,32799,24.03,0.00011214356941036047,6.370233969222392e-05,0.00011389670713175239,0.0001588316614071051,0.00011823740751565799,0.00027245656664320883,1.5195686639581115e-05,3.792215286654116e-06,7.538874321543047e-07,6.270204475230743e-07,2.642542689399663e-07,1.3703875799998735e-06,2.460967344567329e-07,2.2447094442359464e-06,1.6948757453916183e-07,1.2240607025156718e-06,0.00012258892579388456,0.03125
0,0.0,128,7204,ASYM,p32768_lr0.003,2000,163,32833,7.48,0.0001162902175168779,6.213103513553504e-05,0.00011367785405482137,0.00017306176336027727,0.00011904834000432223,0.00029061057674883983,1.4995257680013482e-05,3.6178771557564398e-06,1.9090693814436202e-06,1.590336825309972e-07,3.516305074499339e-07,5.216543954349929e-06,7.03471421608202e-07,3.750545776028939e-06,3.853418841354466e-09,1.2071800008454006e-10,0.00012305559306505551,0.0
0,0.0,128,7204,NET,p32768_lr0.003,2500,163,32799,21.96,0.00011637171722699904,6.319357445138475e-05,0.00011615093647479439,0.000169770640754818,0.00011925694480373339,0.0002895113561025009,1.687819936423764e-05,3.8732199313644664e-06,1.62754073762554e-06,1.2182942713997516e-06,2.4964906669200027e-06,1.1678372745568653e-06,9.127361424168925e-07,9.190043166172406e-07,1.8098581543039002e-06,2.5067127577999826e-07,0.0001226810498321815,0.0
0,0.0,128,7205,ASYM,p32768_lr0.003,2000,163,32833,9.61,0.00011400356083594489,6.258694389601692e-05,0.00011320610943517471,0.00016621762917664307,0.00011168694473757031,0.0002773866910922666,1.6833716412263666e-05,3.0376406867592997e-06,6.106483526640539e-07,2.1790065409495451e-07,9.795965350031342e-07,6.344478688940729e-07,4.335368089483647e-08,1.1805944265581137e-06,1.605702932618741e-07,3.8961390367529375e-08,0.00012029310734780402,0.0
0,0.0,128,7205,NET,p32768_lr0.003,2500,163,32799,13.25,0.00011683826247785145,6.667837038488405e-05,0.00011414360515672002,0.00016969281189195028,0.00011169731364341999,0.0002804631816871554,1.8615737711899713e-05,6.012513004037103e-06,3.2507433814245268e-06,3.894272277853196e-06,1.9722900179139742e-06,3.885667848506411e-06,6.443169216917179e-08,2.819194934510885e-06,1.9407480174146636e-06,3.030573593300722e-06,0.00012381353032416651,0.08333333333333333
1,0.0,128,7201,ASYM,p32768_lr0.003,2000,163,32833,42.03,0.00038078545033259524,0.00021081546820165848,0.0003573490603856802,0.0005741918224104471,0.0003596320558455259,0.0009672738562357027,5.004750843848741e-05,1.125398630586567e-05,2.1373839119137243e-05,4.633403363835622e-06,2.724875459459828e-05,3.223935939897784e-05,3.1964579657272313e-06,3.261850253007785e-05,3.3820384309089462e-06,2.414763841696418e-07,0.0004260370440167245,0.0
1,0.0,128,7201,NET,p32768_lr0.003,2500,163,32799,24.13,0.00036554703127789095,0.00020858178314246085,0.0003416414790481022,0.0005464178316431097,0.0003590137155354278,0.0009439374243909912,4.750743268457973e-05,1.190600232601383e-05,3.4457983716327538e-06,1.9096492129344735e-06,5.540389573831765e-06,2.887356328132024e-06,2.1209590771162762e-06,6.086201933251488e-06,6.415828061390434e-07,9.130965364646393e-07,0.00041066650774422374,0.03125
1,0.0,128,7202,ASYM,p32768_lr0.003,2000,163,32833,8.65,0.00033495604164572617,0.00019948913909321743,0.00031926795229552545,0.00048611103354843574,0.000361735030328561,0.0007769591568853595,4.2416960663794514e-05,6.569283614191964e-06,3.04948989843259e-06,1.5131010967507887e-06,6.710260935264811e-07,6.9643425050205e-06,8.684445948447687e-07,2.5415530533000934e-06,8.004850308565643e-08,9.389469150364238e-09,0.0004242563309450522,0.0
1,0.0,128,7202,NET,p32768_lr0.003,2500,163,32799,27.35,0.0003387315585855458,0.0002027942800021678,0.0003201711755159223,0.0004932292202385474,0.0003697730660192078,0.0007754604643428661,4.5929712783112156e-05,9.423201955145057e-06,7.070584933579343e-06,5.5925029882980705e-06,1.6396892549442132e-06,1.3979562557495748e-05,8.92881375979708e-06,7.715304402288772e-07,3.349966347274371e-06,2.7648478751959826e-06,0.0004268582777642702,0.0
1,0.0,128,7203,ASYM,p32768_lr0.003,2000,163,32833,7.42,0.00041139083139828526,0.00019422439142851962,0.00039235027327683803,0.0006475978294894981,0.00038614369041390745,0.0009720952543090985,6.643597295187609e-05,1.2755395758210644e-05,6.640473871556634e-06,3.2497015183189623e-06,3.08612347398419e-06,1.3585596622366748e-05,4.797415722432235e-06,6.084871551552818e-06,3.2380306715172693e-07,1.3226187156542909e-08,0.0003619092864969755,0.0
1,0.0,128,7203,NET,p32768_lr0.003,2500,163,32799,23.81,0.00040702992744857063,0.00019236849001693165,0.00039245165510573944,0.0006362696372230409,0.00038576723179542527,0.0009703881474516692,6.909761361341773e-05,1.4721195638510263e-05,3.6026852995327214e-06,1.5985207130545765e-06,3.188109164004362e-06,6.021426021539225e-06,4.3691634078151756e-06,7.3928698945804745e-06,3.229404332343896e-06,2.025256038924625e-06,0.00036044420592664045,0.09375
1,0.0,128,7204,ASYM,p32768_lr0.003,2000,163,32833,7.64,0.0003812906897081656,0.0001882877308952022,0.0004290466006924144,0.0005265377375368802,0.0003578734489878786,0.0009482879840081448,5.539894393453824e-05,6.235762561339978e-06,7.966175433856967e-06,3.0496804706457903e-07,8.085067450373247e-06,1.5508490804133075e-05,1.132168206795095e-06,6.2436795276383604e-06,2.1528166982451307e-06,1.9883447432019637e-07,0.0003923841491292653,0.0
1,0.0,128,7204,NET,p32768_lr0.003,2500,163,32799,23.62,0.00037783318097625785,0.00018933719034473068,0.0004240407727421851,0.0005201215798418579,0.00035658465764835945,0.000945713216515672,5.408453574337658e-05,1.0069695472685146e-05,2.0230618155651245e-06,1.202267277894992e-06,8.411662372772929e-07,4.0257519315230884e-06,4.958540470696873e-07,1.608013995407764e-06,7.768764040054229e-07,4.039762016446559e-06,0.0003910939765354667,0.10416666666666667
1,0.0,128,7205,ASYM,p32768_lr0.003,2000,163,32833,9.89,0.00040156609047454513,0.0002243379096484211,0.00040867137252075447,0.00057168898925446,0.00038833916068733526,0.0009834556040499431,6.414122861594523e-05,1.0921785350202912e-05,1.1323296347850375e-05,2.6462972714884715e-06,9.090718072922464e-06,2.223287369914019e-05,2.1009717835280883e-06,4.531998174878664e-06,9.418577892578597e-06,7.003637002710959e-07,0.0002940787357276341,0.0
1,0.0,128,7205,NET,p32768_lr0.003,2500,163,32799,13.36,0.000396284084890139,0.00022565729319131607,0.00040294382835654943,0.0005602511331225514,0.00040223844899769007,0.0009841940173436388,5.6930355174191035e-05,1.0632862823527409e-05,5.768848262304338e-06,4.488120363669752e-06,4.4070493431786895e-06,8.411375080064572e-06,1.4417316159114223e-05,5.718765975611112e-06,9.688222673706556e-07,3.2934937376433455e-07,0.0002880679653065007,0.0
2,0.0,128,7201,ASYM,p32768_lr0.003,2000,163,32833,43.78,0.0034139496765769953,0.0019183724295040133,0.0034950345859562537,0.004828442014270719,0.0034049923855567162,0.008247010798197044,0.00044079689888786743,8.205688910217745e-05,6.545990460522418e-05,1.09689496016518e-05,0.00011036607748512965,7.504468672889109e-05,2.9179305759586442e-05,0.0001402119849705143,7.670362017347512e-06,4.2217129504882474e-07,0.0034820766275934895,0.0
2,0.0,128,7201,NET,p32768_lr0.003,2500,163,32799,22.72,0.0034002503206442512,0.0019406085070705343,0.0034755466724301805,0.004784595782432038,0.0033984891257408576,0.00814121038014474,0.00044704430707565956,8.753642898689222e-05,5.893115905350126e-05,2.8291610781440633e-05,9.281310054069444e-05,5.5688765838368714e-05,2.375992178488369e-05,6.389505383189842e-05,1.2444911964670777e-05,5.067711957435379e-06,0.0034877549151324885,0.020833333333333332
2,0.0,128,7202,ASYM,p32768_lr0.003,2000,163,32833,8.37,0.0034766680536817266,0.0019394800658908006,0.0035300159604033793,0.004960508134751001,0.003470527653060903,0.008509036885001172,0.0004975299983622977,8.468090987929129e-05,3.191598877625342e-05,1.6264633555956543e-05,5.570471352044474e-06,7.391286142075925e-05,3.5560363247029825e-05,0.00011108644856691373,3.6085497468396173e-06,4.2788911255346754e-07,0.0033757211714793554,0.0
2,0.0,128,7202,NET,p32768_lr0.003,2500,163,32799,24.99,0.0035049245159647067,0.0019414907838428553,0.0035681521935315677,0.005005130570519698,0.0034621131969631014,0.008394007682717733,0.0005381115082180027,0.00017753700897810555,5.065289243010258e-05,1.0624491439770214e-05,3.682397296211476e-05,0.00010451021288842275,2.074508393114173e-05,4.870353739092153e-06,3.9898332828788845e-05,9.100598979812058e-05,0.0033721000869494683,0.23958333333333334
2,0.0,128,7203,ASYM,p32768_lr0.003,2000,163,32833,7.4,0.003358184432356129,0.0019878737637487928,0.0034640004476345384,0.004622679085685055,0.0033607363408730503,0.008159665589106893,0.00045536983455592215,6.60106592613562e-05,1.7930271260049758e-05,1.8282022394115088e-05,3.022386921196307e-05,5.28492217407112e-06,3.149138463025545e-06,3.101655497446703e-05,1.4612106763660814e-06,2.0393950957941186e-08,0.0033787783472668162,0.0
